Linija;Podudaranje;CER
1;14,71;85,29
2;78,79;21,21
3;81,82;18,18
4;72,73;27,27
5;38,89;61,11
6;36,11;63,89
7;28,95;71,05
8;92,11;7,89
9;93,55;6,45
10;69,23;30,77
11;65,71;34,29
12;33,33;66,67
13;41,46;58,54
14;83,33;16,67
15;78,95;21,05
16;27,78;72,22
17;85,71;14,29
18;21,05;78,95
19;23,08;76,92
20;29,73;70,27
21;29,79;70,21
22;72,50;27,50
23;33,33;66,67
24;62,96;37,04
25;71,43;28,57
26;100,00;0,00
27;100,00;0,00
28;100,00;0,00
29;100,00;0,00
30;100,00;0,00
31;100,00;0,00
32;100,00;0,00
33;100,00;0,00
34;100,00;0,00
35;100,00;0,00
36;100,00;0,00
37;100,00;0,00
38;100,00;0,00
39;100,00;0,00
40;100,00;0,00
41;100,00;0,00
42;100,00;0,00
43;100,00;0,00
44;100,00;0,00
45;100,00;0,00
46;100,00;0,00
47;100,00;0,00
48;100,00;0,00
49;100,00;0,00
50;100,00;0,00
51;100,00;0,00
52;46,88;53,12
53;69,70;30,30
54;46,51;53,49
55;41,46;58,54
56;84,21;15,79
57;52,38;47,62
58;12,90;87,10
59;37,84;62,16
60;50,00;50,00
61;91,67;8,33
62;39,02;60,98
63;44,44;55,56
64;81,08;18,92
65;100,00;0,00
66;23,08;76,92
67;42,11;57,89
68;28,57;71,43
69;41,18;58,82
70;91,18;8,82
71;27,66;72,34
72;47,37;52,63
73;82,35;17,65
74;44,12;55,88
75;16,13;83,87
76;40,54;59,46
77;0,00;100,00
78;14,71;85,29
79;8,82;91,18
80;11,76;88,24
81;16,22;83,78
82;15,62;84,38
83;3,45;96,55
84;9,38;90,62
85;11,11;88,89
86;2,56;97,44
87;11,76;88,24
88;11,11;88,89
89;11,11;88,89
90;12,50;87,50
91;13,16;86,84
92;7,50;92,50
93;17,50;82,50
94;9,76;90,24
95;9,80;90,20
96;5,36;94,64
97;10,26;89,74
98;9,76;90,24
99;12,12;87,88
100;15,00;85,00
101;0,00;100,00
102;5,00;95,00
103;0,00;100,00
104;18,92;81,08
105;9,38;90,62
106;8,82;91,18
107;13,16;86,84
108;7,69;92,31
109;5,71;94,29
110;5,71;94,29
111;7,50;92,50
112;6,25;93,75
113;10,53;89,47
114;17,14;82,86
115;13,51;86,49
116;11,76;88,24
117;10,81;89,19
118;11,11;88,89
119;13,51;86,49
120;21,05;78,95
121;5,26;94,74
122;5,26;94,74
123;10,81;89,19
124;12,82;87,18
125;11,43;88,57
126;4,88;95,12
127;8,57;91,43
128;11,11;88,89
129;0,00;100,00
130;14,29;85,71
131;11,76;88,24
132;9,09;90,91
133;14,29;85,71
134;5,71;94,29
135;8,57;91,43
136;2,78;97,22
137;0,00;100,00
138;5,56;94,44
139;11,43;88,57
140;13,89;86,11
141;14,29;85,71
142;13,64;86,36
143;13,89;86,11
144;14,71;85,29
145;9,38;90,62
146;8,00;92,00
147;12,82;87,18
148;13,16;86,84
149;11,76;88,24
150;14,29;85,71
151;2,50;97,50
152;5,26;94,74
153;5,26;94,74
154;0,00;100,00
155;8,82;91,18
156;15,00;85,00
157;5,88;94,12
158;7,69;92,31
159;6,25;93,75
160;0,00;100,00
161;8,57;91,43
162;0,00;100,00
163;5,41;94,59
164;8,33;91,67
165;6,82;93,18
166;19,44;80,56
167;7,69;92,31
168;13,51;86,49
169;8,16;91,84
170;6,06;93,94
171;10,00;90,00
172;10,81;89,19
173;8,33;91,67
174;27,78;72,22
175;20,51;79,49
176;10,00;90,00
177;5,77;94,23
178;10,81;89,19
179;11,11;88,89
180;0,00;100,00
181;11,43;88,57
182;11,43;88,57
183;5,56;94,44
184;11,11;88,89
185;2,78;97,22
186;0,00;100,00
187;5,00;95,00
188;2,94;97,06
189;0,00;100,00
190;10,00;90,00
191;13,51;86,49
192;9,76;90,24
193;11,43;88,57
194;15,15;84,85
195;4,88;95,12
196;6,98;93,02
197;8,33;91,67
198;8,82;91,18
199;9,09;90,91
200;16,22;83,78
201;2,94;97,06
202;5,71;94,29
203;5,71;94,29
204;5,41;94,59
205;0,00;100,00
206;0,00;100,00
207;11,11;88,89
208;14,71;85,29
209;12,12;87,88
210;2,63;97,37
211;4,76;95,24
212;2,86;97,14
213;14,29;85,71
214;2,86;97,14
215;0,00;100,00
216;11,11;88,89
217;6,67;93,33
218;11,11;88,89
219;10,53;89,47
220;8,33;91,67
221;13,89;86,11
222;8,33;91,67
223;8,82;91,18
224;7,89;92,11
225;10,53;89,47
226;8,11;91,89
227;11,76;88,24
228;8,11;91,89
229;0,00;100,00
230;5,71;94,29
231;6,98;93,02
232;0,00;100,00
233;10,81;89,19
234;5,13;94,87
235;5,00;95,00
236;5,41;94,59
237;7,89;92,11
238;6,38;93,62
239;12,12;87,88
240;0,00;100,00
241;4,44;95,56
242;5,77;94,23
243;10,81;89,19
244;18,42;81,58
245;8,57;91,43
246;11,76;88,24
247;15,38;84,62
248;14,29;85,71
249;4,76;95,24
250;8,11;91,89
251;0,00;100,00
252;0,00;100,00
253;0,00;100,00
254;0,00;100,00
255;0,00;100,00
256;0,00;100,00
257;0,00;100,00
258;100,00;0,00